,id,tackles_r_count,offsides_r_count,total_shots_l,yellow_cards_r_count,shots_on_target_l,corners_l_count,goals_r_count,shots_on_target_r,tackles_l_count,possession_l,goals_l_count,corners_r_count,passes_l,yellow_cards_l_count,free_kicks_r_count,fouls_r_count,offsides_l_count,ball_on_side_l,outlier,score
5,100005,23,0,22,1,33,1,0,10,49,46,3,1,552,1,12,1,0,56,1,0
19,100019,28,1,0,2,7,0,4,10,25,58,3,1,646,2,10,3,0,60,1,0
20,100020,21,1,29,0,46,2,1,2,13,76,3,0,895,0,6,0,0,50,1,0
23,100023,13,0,26,0,47,1,1,1,32,48,1,0,533,3,18,1,0,53,1,0
30,100030,31,0,13,1,24,4,1,0,20,65,0,0,652,1,12,2,2,54,1,0
32,100032,31,1,12,0,19,1,5,2,20,62,0,2,665,0,5,3,0,62,-1,0
37,100038,14,0,29,0,20,4,1,0,13,69,5,0,852,0,8,1,1,43,1,0
44,100045,36,1,4,1,37,1,3,9,18,76,2,0,985,0,4,3,0,51,1,0
123,100124,25,1,29,0,4,0,0,4,14,73,1,1,882,2,7,5,0,63,1,0
135,100136,17,1,11,0,39,1,1,2,25,55,0,2,635,1,14,1,1,60,1,0
138,100139,24,2,7,0,14,0,0,3,35,60,0,2,858,0,8,1,0,72,1,0
154,100155,25,0,10,0,22,0,1,7,29,51,1,2,642,2,12,6,0,51,1,0
158,100159,10,1,21,0,52,3,0,1,22,49,4,1,559,0,17,1,2,50,1,0
181,100182,30,0,23,0,50,1,0,0,4,86,3,0,1157,0,3,4,1,47,1,0
185,100186,24,0,13,0,90,2,0,0,19,58,5,1,754,0,7,1,1,45,-1,0
194,100195,41,0,1,0,20,1,0,10,19,75,0,1,918,0,6,6,0,52,1,0
196,100197,22,1,30,0,71,0,1,10,33,57,2,0,692,0,11,0,0,49,1,0
232,100233,24,0,0,0,8,0,2,7,35,50,0,2,676,2,11,4,0,74,1,0
241,100242,44,0,37,0,8,0,3,0,17,67,0,1,825,0,6,3,0,53,1,0
280,100281,15,0,36,0,74,0,0,15,26,66,1,1,867,1,10,3,0,44,1,0
300,100301,24,0,41,0,24,1,0,15,21,71,3,0,868,0,4,3,0,40,1,0
301,100302,20,0,2,0,2,0,0,0,7,78,0,0,956,2,3,0,0,61,1,0
331,100332,50,0,32,0,23,0,0,6,15,69,3,0,989,0,7,3,1,51,1,0
373,100374,26,0,9,1,43,2,2,5,21,71,2,0,749,1,6,9,0,44,1,0
376,100377,30,0,9,2,6,0,0,2,28,50,1,1,601,0,19,3,0,49,1,0
381,100382,29,0,12,0,6,1,1,20,13,74,0,0,942,0,2,3,0,56,1,0
385,100386,22,0,31,0,6,2,1,4,16,69,3,1,921,0,10,1,0,61,1,0
389,100390,18,0,24,0,44,2,3,3,12,65,2,0,715,1,10,0,2,35,1,0
395,100396,28,0,2,1,3,0,3,13,29,56,0,0,634,2,13,4,0,72,1,0
413,100414,50,0,10,2,17,8,1,7,30,76,2,0,697,0,6,4,0,50,1,0
431,100432,27,1,12,0,45,0,0,0,17,75,4,0,913,1,5,6,0,44,1,0
437,100438,21,0,10,0,15,4,1,7,32,60,2,0,616,3,8,0,0,65,1,0
440,100441,41,0,11,0,9,0,0,0,16,76,0,0,1094,0,0,6,0,61,1,0
473,100474,27,0,8,0,3,1,0,5,18,66,1,1,736,4,11,2,0,59,1,0
529,100530,18,0,34,0,82,1,2,0,25,60,4,0,708,0,10,0,0,40,1,0
555,100556,27,0,14,0,65,0,1,8,12,63,5,0,743,1,6,1,1,48,1,0
581,100582,27,0,17,0,10,0,4,18,17,65,3,1,827,0,5,4,0,57,1,0
591,100592,28,1,12,0,13,1,0,4,19,78,3,0,1051,0,2,4,1,47,1,0
613,100614,32,2,13,1,27,2,0,6,14,72,3,1,847,0,4,2,1,53,1,0
621,100622,24,0,16,1,4,0,0,2,18,77,0,1,961,0,5,2,0,73,1,0
651,100652,23,0,9,1,16,0,4,10,31,58,0,0,635,0,12,2,0,67,1,0
661,100662,17,0,0,0,0,0,1,13,22,70,0,1,933,0,5,2,0,81,1,0
671,100672,18,1,41,0,80,1,0,6,31,56,6,1,712,1,12,0,1,46,-1,0
678,100679,38,0,9,0,8,1,0,12,19,66,1,0,802,2,9,4,2,62,1,0
679,100680,20,0,1,0,10,0,2,3,43,41,0,0,523,0,13,2,0,54,1,0
682,100683,20,0,22,0,26,4,0,16,13,69,1,1,894,0,2,2,0,55,1,0
698,100699,21,0,37,0,8,1,3,16,43,52,2,0,625,0,15,2,1,53,1,0
703,100704,23,0,38,0,40,4,1,12,22,53,2,1,582,0,16,0,2,40,1,0
710,100711,25,0,55,0,39,0,2,4,20,63,3,0,743,2,13,0,0,49,1,0
725,100726,7,1,5,0,3,1,3,13,24,52,0,2,601,0,11,0,1,70,1,0
764,100765,34,0,30,0,19,0,1,10,27,70,1,0,755,0,9,7,0,32,1,0
766,100767,31,0,1,0,2,0,2,10,26,66,0,0,817,1,7,7,0,67,1,0
773,100774,39,0,10,0,35,1,1,5,19,65,3,1,748,3,5,3,0,52,1,0
788,100789,13,0,19,0,33,0,2,8,29,53,6,0,751,0,15,0,0,58,-1,0
790,100791,37,0,32,0,52,6,0,9,13,79,3,0,845,1,7,3,0,30,1,0
799,100800,22,0,26,1,35,4,1,3,21,75,4,0,777,1,6,2,0,36,1,0
802,100803,10,0,38,0,50,1,0,0,26,53,2,2,760,1,10,1,1,41,1,0
810,100811,27,0,11,1,34,2,0,4,28,63,2,2,709,0,6,2,0,43,1,0
812,100813,32,0,19,0,61,2,0,1,19,71,3,0,800,3,12,2,2,44,1,0
818,100819,44,0,57,0,17,5,0,0,14,76,1,0,802,0,6,2,2,41,1,0
845,100846,22,0,25,0,11,3,3,8,31,60,2,1,632,2,16,1,2,55,1,0
867,100868,24,1,12,0,12,2,4,1,34,49,1,2,479,0,9,4,0,63,-1,0
885,100886,26,0,3,2,32,2,1,1,26,71,3,0,856,1,5,3,0,63,1,0
896,100897,27,2,28,0,54,3,0,3,19,70,1,0,902,2,7,1,0,55,1,0
906,100907,27,1,27,0,34,1,1,4,18,61,2,2,672,2,9,1,0,53,1,0
907,100908,18,0,9,1,22,1,1,23,24,58,0,1,582,0,12,3,0,58,1,0
911,100912,18,0,4,0,1,0,3,6,27,51,0,2,546,1,11,3,0,72,1,0
927,100928,26,1,15,0,70,4,0,0,24,56,1,0,674,0,11,2,1,32,1,0
943,100944,23,0,7,0,13,0,0,8,42,47,1,1,546,2,20,2,0,63,1,0
972,100973,17,0,18,0,57,1,1,7,20,58,4,1,635,4,11,1,0,52,1,0
