,id,tackles_r_count,offsides_r_count,total_shots_l,yellow_cards_r_count,shots_on_target_l,corners_l_count,goals_r_count,shots_on_target_r,passes_r,tackles_l_count,possession_l,goals_l_count,corners_r_count,passes_l,yellow_cards_l_count,free_kicks_r_count,free_kicks_l_count,fouls_r_count,offsides_l_count,ball_on_side_l,score,outlier
0,100000,41,0,13,0,22,2,0,0,223,20,75,1,1,779,1,9,4,2,0,46,0.129744778499988,1
1,100001,28,0,6,0,6,3,0,1,279,30,64,0,1,696,2,9,2,2,1,62,0.08791957725372046,1
2,100002,22,0,18,0,63,0,1,0,241,23,72,3,0,833,0,6,2,2,0,48,0.16145145961552593,1
3,100003,33,0,5,0,42,1,1,1,220,20,69,1,2,830,0,4,2,1,0,57,0.10756476480591687,1
4,100004,16,0,5,0,3,1,2,0,248,25,59,2,0,691,1,7,3,2,0,66,0.12748896831023582,1
5,100005,23,0,22,1,33,1,0,10,452,49,46,3,1,552,1,12,1,1,0,56,0.0054472564755890795,1
6,100006,24,0,7,0,32,0,0,0,263,22,61,0,0,827,0,13,3,2,0,56,0.15136603709067742,1
7,100007,32,0,9,0,55,2,2,0,157,11,81,3,0,879,0,3,4,3,0,41,0.09751003374496536,1
8,100008,33,0,19,0,25,1,2,5,325,29,63,3,1,670,0,11,3,3,0,48,0.1277284044744958,1
9,100009,38,0,9,0,5,2,0,0,246,19,72,1,0,757,0,6,5,5,0,36,0.13472249450395796,1
10,100010,33,0,28,0,32,0,0,0,165,14,79,0,0,950,0,2,1,1,0,49,0.10636655585697197,1
11,100011,34,0,15,0,13,3,1,2,321,24,59,1,0,727,1,8,1,1,1,47,0.1559286745920322,1
12,100012,23,0,36,0,49,1,1,0,276,29,63,2,0,778,2,11,3,3,0,46,0.12853733705284365,1
13,100013,23,1,24,0,10,1,1,9,345,25,51,0,0,738,1,15,2,1,0,54,0.08120704832542663,1
14,100014,20,0,49,0,28,2,1,0,191,18,74,1,1,881,1,6,1,2,0,37,0.08734520613645541,1
