,id,tackles_r_count,offsides_r_count,total_shots_l,yellow_cards_r_count,shots_on_target_l,corners_l_count,goals_r_count,shots_on_target_r,passes_r,tackles_l_count,possession_l,goals_l_count,corners_r_count,passes_l,yellow_cards_l_count,free_kicks_r_count,free_kicks_l_count,fouls_r_count,offsides_l_count,ball_on_side_l,outlier,score
0,100000,41,0,13,0,22,2,0,0,223,20,75,1,1,779,1,9,4,2,0,46,1,-1.0177564223204592
1,100001,28,0,6,0,6,3,0,1,279,30,64,0,1,696,2,9,2,2,1,62,1,-1.0941694232568244
2,100002,22,0,18,0,63,0,1,0,241,23,72,3,0,833,0,6,2,2,0,48,1,-1.0046621961079614
3,100003,33,0,5,0,42,1,1,1,220,20,69,1,2,830,0,4,2,1,0,57,1,-1.1487380302105161
4,100004,16,0,5,0,3,1,2,0,248,25,59,2,0,691,1,7,3,2,0,66,1,-1.034658339916925
5,100005,23,0,22,1,33,1,0,10,452,49,46,3,1,552,1,12,1,1,0,56,-1,-1.5154852131012921
6,100006,24,0,7,0,32,0,0,0,263,22,61,0,0,827,0,13,3,2,0,56,1,-0.982941358328471
7,100007,32,0,9,0,55,2,2,0,157,11,81,3,0,879,0,3,4,3,0,41,1,-1.1009213397461861
8,100008,33,0,19,0,25,1,2,5,325,29,63,3,1,670,0,11,3,3,0,48,1,-1.0371054097880488
9,100009,38,0,9,0,5,2,0,0,246,19,72,1,0,757,0,6,5,5,0,36,1,-1.0259375585341814
10,100010,33,0,28,0,32,0,0,0,165,14,79,0,0,950,0,2,1,1,0,49,1,-1.0481727966815073
11,100011,34,0,15,0,13,3,1,2,321,24,59,1,0,727,1,8,1,1,1,47,1,-1.0044788717337372
12,100012,23,0,36,0,49,1,1,0,276,29,63,2,0,778,2,11,3,3,0,46,1,-1.0416932226807898
13,100013,23,1,24,0,10,1,1,9,345,25,51,0,0,738,1,15,2,1,0,54,1,-1.1262746477774785
14,100014,20,0,49,0,28,2,1,0,191,18,74,1,1,881,1,6,1,2,0,37,1,-1.1110451497110245
15,100015,20,0,24,0,57,2,0,0,323,21,66,2,0,795,1,7,1,1,1,32,1,-1.0295088097193381
16,100016,31,0,17,0,44,2,0,0,225,22,69,0,0,751,1,8,2,4,1,45,1,-0.9857983538275353
17,100017,26,0,16,0,22,2,1,0,254,25,68,2,0,762,0,9,3,3,1,35,1,-0.9866671596942815
18,100018,25,0,7,0,61,1,1,0,245,21,64,1,0,753,0,7,3,2,0,43,1,-0.9827755086290525
19,100019,28,1,0,2,7,0,4,10,301,25,58,3,1,646,2,10,5,3,0,60,-1,-1.769671310351712
20,100020,21,1,29,0,46,2,1,2,225,13,76,3,0,895,0,6,1,0,0,50,1,-1.1407027814779378
21,100021,18,0,10,0,12,0,1,23,331,24,61,1,0,573,0,9,1,0,0,59,1,-1.2029018373357103
22,100022,27,0,5,0,5,2,0,10,354,26,65,0,0,766,1,10,1,0,0,51,1,-1.024428491083306
23,100023,13,0,26,0,47,1,1,1,450,32,48,1,0,533,3,18,2,1,0,53,1,-1.397512237932884
24,100024,24,0,10,0,6,0,2,0,246,19,63,0,0,797,1,12,1,1,0,58,1,-0.999045488847291
25,100025,37,0,5,0,16,1,1,2,289,26,63,0,0,619,1,12,4,4,0,57,1,-1.0173141641444348
26,100026,34,0,10,0,21,1,1,9,187,15,72,1,0,948,0,4,4,2,0,47,1,-0.9909789503956756
27,100027,32,0,34,0,57,0,1,0,283,20,69,2,0,749,1,8,4,4,0,36,1,-1.0246362760920356
28,100028,23,0,7,0,22,2,2,13,262,29,60,3,1,763,0,13,3,3,1,58,1,-1.0935064214509724
29,100029,26,0,0,0,8,4,1,0,232,22,69,1,1,694,0,8,4,4,0,49,1,-1.0528184323596814
30,100030,31,0,13,1,24,4,1,0,211,20,65,0,0,652,1,12,3,2,2,54,1,-1.257951956098035
